Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_ELEC	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	MOTORWAYS	ROADS	RAILWAYS	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	METHANE_TO_METHANOL	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	END_USE	
 1 	 1																		0.268766												-0.130762	-0.138004																																																																																																																							0.000000	
 1 	 2																		0.274317												-0.144719	-0.129598																																																																																																																							0.000000	
 1 	 3																		0.302549												-0.129122	-0.173427																																																																																																																							0.000000	
 1 	 4																		0.318558												-0.121147	-0.197410																																																																																																																							0.000000	
 1 	 5																		0.318536												-0.114406	-0.204130																																																																																																																							0.000000	
 1 	 6																		0.326519												-0.106848	-0.219671																																																																																																																							0.000000	
 1 	 7																		0.315146												-0.102835	-0.212311																																																																																																																							0.000000	
 1 	 8																		0.337063												-0.135134	-0.201930																																																																																																																							0.000000	
 1 	 9																		0.353291												-0.202941	-0.150350																																																																																																																							0.000000	
 1 	 10																		0.275882												-0.167171	-0.108711																																																																																																																							0.000000	
 1 	 11																		0.235749												-0.103187	-0.132562																																																																																																																							0.000000	
 1 	 12																		0.232834												-0.104032	-0.128802																																																																																																																							0.000000	
 1 	 13																		0.308279												-0.107316	-0.200963																																																																																																																							0.000000	
 1 	 14																		0.293595												-0.106654	-0.186941																																																																																																																							0.000000	
 1 	 15																		0.281941												-0.092642	-0.189299																																																																																																																							0.000000	
 1 	 16																		0.410092												-0.066903	-0.343189																																																																																																																							0.000000	
 1 	 17																		0.590977												-0.063216	-0.527761																																																																																																																							0.000000	
 1 	 18																		0.564760												-0.079592	-0.485168																																																																																																																							0.000000	
 1 	 19																		0.571401												-0.116656	-0.454745																																																																																																																							0.000000	
 1 	 20																		0.609711												-0.205295	-0.404417																																																																																																																							0.000000	
 1 	 21																		0.679924												-0.269599	-0.410325																																																																																																																							0.000000	
 1 	 22																		0.820568												-0.373851	-0.446717																																																																																																																							0.000000	
 1 	 23																		0.883723												-0.457953	-0.425770																																																																																																																							0.000000	
 1 	 24																		0.900535												-0.518493	-0.382042																																																																																																																							0.000000	
 2 	 1																		0.497072												-0.205911	-0.291161																																																																																																																							0.000000	
 2 	 2																		0.476835												-0.248623	-0.228212																																																																																																																							0.000000	
 2 	 3																		0.499399												-0.284393	-0.215006																																																																																																																							0.000000	
 2 	 4																		0.533944												-0.305185	-0.228759																																																																																																																							0.000000	
 2 	 5																		0.599854												-0.329884	-0.269970																																																																																																																							0.000000	
 2 	 6																		0.650567												-0.406980	-0.243587																																																																																																																							0.000000	
 2 	 7																		0.641602												-0.389129	-0.252473																																																																																																																							0.000000	
 2 	 8																		0.755381												-0.459467	-0.295913																																																																																																																							0.000000	
 2 	 9																		0.699182												-0.459645	-0.239537																																																																																																																							0.000000	
 2 	 10																		0.753254												-0.565466	-0.187788																																																																																																																							0.000000	
 2 	 11																		0.760884												-0.566561	-0.194324																																																																																																																							0.000000	
 2 	 12																		0.661966												-0.482927	-0.179040																																																																																																																							0.000000	
 2 	 13																		0.567019												-0.400045	-0.166974																																																																																																																							0.000000	
 2 	 14																		0.517369												-0.373179	-0.144190																																																																																																																							0.000000	
 2 	 15																		0.496109												-0.365140	-0.130969																																																																																																																							0.000000	
 2 	 16																		0.464558												-0.321912	-0.142646																																																																																																																							0.000000	
 2 	 17																		0.403048												-0.267988	-0.135060																																																																																																																							0.000000	
 2 	 18																		0.394056												-0.282930	-0.111126																																																																																																																							0.000000	
 2 	 19																		0.340974												-0.262528	-0.078445																																																																																																																							0.000000	
 2 	 20																		0.321476												-0.266616	-0.054861																																																																																																																							0.000000	
 2 	 21																		0.317822												-0.268227	-0.049595																																																																																																																							0.000000	
 2 	 22																		0.268486												-0.236202	-0.032284																																																																																																																							0.000000	
 2 	 23																		0.198389												-0.194424	-0.003965																																																																																																																							0.000000	
 2 	 24																		0.157110												-0.154073	-0.003037																																																																																																																							0.000000	
 3 	 1																		0.982036												-0.298092	-0.683944																																																																																																																							0.000000	
 3 	 2																		0.968397												-0.298088	-0.670308																																																																																																																							0.000000	
 3 	 3																		0.785680												-0.317799	-0.467881																																																																																																																							0.000000	
 3 	 4																		0.775717												-0.362031	-0.413686																																																																																																																							0.000000	
 3 	 5																		0.810783												-0.382165	-0.428618																																																																																																																							0.000000	
 3 	 6																		0.854922												-0.400258	-0.454665																																																																																																																							0.000000	
 3 	 7																		0.774063												-0.349142	-0.424920																																																																																																																							0.000000	
 3 	 8																		0.591124												-0.261053	-0.330071																																																																																																																							0.000000	
 3 	 9																		0.577948												-0.237623	-0.340325																																																																																																																							0.000000	
 3 	 10																		0.667897												-0.212372	-0.455525																																																																																																																							0.000000	
 3 	 11																		0.735372												-0.265941	-0.469431																																																																																																																							0.000000	
 3 	 12																		0.788709												-0.304194	-0.484515																																																																																																																							0.000000	
 3 	 13																		0.799406												-0.364569	-0.434838																																																																																																																							0.000000	
 3 	 14																		0.831791												-0.403567	-0.428224																																																																																																																							0.000000	
 3 	 15																		0.746343												-0.380518	-0.365825																																																																																																																							0.000000	
 3 	 16																		0.746692												-0.356381	-0.390311																																																																																																																							0.000000	
 3 	 17																		0.752839												-0.343105	-0.409734																																																																																																																							0.000000	
 3 	 18																		0.659337												-0.311917	-0.347421																																																																																																																							0.000000	
 3 	 19																		0.569562												-0.291902	-0.277659																																																																																																																							0.000000	
 3 	 20																		0.374504												-0.209402	-0.165103																																																																																																																							0.000000	
 3 	 21																		0.319663												-0.176434	-0.143229																																																																																																																							0.000000	
 3 	 22																		0.208471												-0.111000	-0.097472																																																																																																																							0.000000	
 3 	 23																		0.130688												-0.076496	-0.054192																																																																																																																							0.000000	
 3 	 24																		0.087632												-0.068634	-0.018998																																																																																																																							0.000000	
 4 	 1																		0.447654												-0.088115	-0.359538																																																																																																																							0.000000	
 4 	 2																		0.322866												-0.075553	-0.247314																																																																																																																							0.000000	
 4 	 3																		0.345922												-0.087082	-0.258840																																																																																																																							0.000000	
 4 	 4																		0.335280												-0.125006	-0.210274																																																																																																																							0.000000	
 4 	 5																		0.411871												-0.212989	-0.198882																																																																																																																							0.000000	
 4 	 6																		0.374735												-0.250398	-0.124337																																																																																																																							0.000000	
 4 	 7																		0.299790												-0.247451	-0.052339																																																																																																																							0.000000	
 4 	 8																		0.251914												-0.215533	-0.036381																																																																																																																							0.000000	
 4 	 9																		0.123695												-0.109686	-0.014009																																																																																																																							0.000000	
 4 	 10																		0.086850												-0.086721	-0.000130																																																																																																																							0.000000	
 4 	 11																		0.125960												-0.121296	-0.004665																																																																																																																							0.000000	
 4 	 12																		0.122595												-0.102499	-0.020097																																																																																																																							0.000000	
 4 	 13																		0.190850												-0.130355	-0.060494																																																																																																																							0.000000	
 4 	 14																		0.232037												-0.159213	-0.072824																																																																																																																							0.000000	
 4 	 15																		0.255337												-0.182559	-0.072778																																																																																																																							0.000000	
